;experiment;rat_number;experiment_type;session_number;ID;session;type;ND1;ND2;D1;D2;np1_T;np2_T;np_T;inj_T;np1_ND1;np1_ND2;np2_ND1;np2_ND2;npT_ND1;npT_ND2;np1_1min_ND1;np2_1min_ND1;npT_1min_ND1;inj_D1;inj_D2;D1_start;D2_start;ND1_start;ND2_start;np1_D1_lat;np2_D1_lat;npT_D1_lat;D2_np1_lat;D2_np2_lat;D2_npT_lat;np1_ND1_lat;np2_ND1_lat;npT_ND1_lat;np1_ND2_lat;np2_ND2_lat;npT_ND2_lat;inj_D1_lat;inj_D2_lat;F6_1;L9_1;L9F6diff_1;L9F6ratio_1;late_seeker_1;F6_2;L9_2;L9F6diff_2;L9F6ratio_2;late_seeker_2;dk_D1_time;dk_D1_peakFpre;dk_D1_peakAdFpre;dk_D1_peakAZpre;dk_D1_peakFpost;dk_D1_peakAdFpost;dk_D1_peakAZpost;dk_D1_1preavgZ;dk_D1_1postavgZ;dk_D1_1preAUCdF;dk_D1_1postAUCdF;dk_D1_3preavgZ;dk_D1_3postavgZ;dk_D1_3preAUCdF;dk_D1_3postAUCdF;dk_D1_5preavgZ;dk_D1_5postavgZ;dk_D1_5preAUCdF;dk_D1_5postAUCdf;D1_ND1_peakFpre;D1_ND1_peakAdFpre;D1_ND1_peakAZpre;D1_ND1_peakFpost;D1_ND1_peakAdFpost;D1_ND1_peakAZpost;D1_ND1_1preavgZ;D1_ND1_1postavgZ;D1_ND1_1preAUCdF;D1_ND1_1postAUCdF;D1_ND1_3preavgZ;D1_ND1_3postavgZ;D1_ND1_3preAUCdF;D1_ND1_3postAUCdF;D1_ND1_5preavgZ;D1_ND1_5postavgZ;D1_ND1_5preAUCdf;D1_ND1_5postAUCdf;ND1_D2_time;ND1_D2_peakFpre;ND1_D2_peakAdFpre;ND1_D2_peakAZpre;ND1_D2_peakFpost;ND1_D2_peakAdFpost;ND1_D2_peakAZpost;ND1_D2_1preavgZ;ND1_D2_1postavgZ;ND1_D2_1preAUCdF;ND1_D2_1postAUCdF;ND1_D2_3preavgZ;ND1_D2_3postavgZ;ND1_D2_3preAUCdF;ND1_D2_3postAUCdF;ND1_D2_5preavgZ;ND1_D2_5postavgZ;ND1_D2_5preAUCdf;ND1_D2_5postAUCdf;D1_ND1_time
0;AD21R;2;SA;23;AD21R_2;AD21R_rat_2_SA_j23;SA;(2400.0, 3300.0);no ND2;(0, 2400.0);(3300.0, 4506.005);158.0;11.0;169.0;19.0;26.0;;2.0;0.0;28.0;0.0;0.0;0.0;0.0;12.0;7.0;0.0;3300.0;2400.0;;19.769;56.713;19.769;2.027;;2.027;119.814;439.538;119.814;;;;130.074;10.361;7.0;19.0;12.0;0.462;0.0;;;;;0.0;0.001;;;;;;;;;;;;;;;;;;;2.2;0.017955045994374193;1.7169702470369879;2.2;0.022894881461101815;2.1893935535307087;-3.514638429151361e-17;1.4699058297927674;-0.003981988125944464;0.008449200882954195;3.5156045199785056e-17;1.0802241745906518;-0.00939967863237682;0.016823782623647872;3.7501843220061363e-17;0.5556223783986077;-0.011222684017213425;0.012350660040294168;3300.0;1.0;0.02831954516687018;2.304377979136421;2.3;0.02533888221276037;2.061804947739541;-4.686184572201815e-17;1.1306850467163658;0.0017117704700693552;0.014086771977653421;-1.2499927182145798e-16;0.11668216302458531;0.02079375489186752;0.024546688850640746;0.0;0.059669064690174106;0.0243629691724438;0.027592644121913246;2400.0
1;AD21R;2;SA;42;AD21R_2;AD21R_rat_2_SA_j42;SA;(2400.0, 3300.005);(5700.008, 8546.632);(0, 2400.0);(3300.005, 5700.008);404.0;53.0;457.0;31.0;145.0;80.0;2.0;5.0;147.0;85.0;8.0;0.0;8.0;12.0;14.0;0.0;3300.005;2400.0;5700.008;34.672;54.729;34.672;10.429;39.054;10.429;9.295;176.198;9.295;71.456;80.041;71.456;118.566;16.513;75.0;70.0;-5.0;-0.034;0.0;41.0;39.0;-2.0;-0.025;0.0;10.0;;;;1.9;0.015039586310550386;1.254330949886113;2.331559428252995e-17;0.002240723320298868;-0.0029106336718802022;-0.002881508975233211;-5.060014004317339e-17;-0.4711900408593511;-0.006226236451547246;-0.01679250427450857;-9.355401392496382e-17;-0.4195869157558671;-0.0046003602461850744;-0.02229696364773183;1.9;0.024072907121492026;2.2715046239908534;3.0;0.01993911584512154;1.8814015953764314;-1.1715461430504538e-17;0.5635896784640778;-0.0010629416845099051;0.00351247329965995;3.1249817955364495e-17;0.14283407140159368;0.00836819125015178;0.01191477754693869;1.5000737288024545e-16;-0.1286860120777353;0.020341951959454582;0.014872066707984157;3300.005;2.0;0.019851848984989456;1.6080272141747245;2.2;0.03739835955563664;3.0295457474226173;4.6900510611227736e-17;2.3423393227972213;0.00026735548587858047;0.0247523400692635;0.0;2.63942947277925;-0.0018719923887485388;0.06428428931701816;-3.7508029601324984e-17;1.949918438222316;0.005052564380451823;0.0873305176230803;2400.0
2;AD21R;2;SA;51;AD21R_2;AD21R_rat_2_SA_j51;SA;(2400.0, 3300.0);(5700.002, 6600.002);(0, 2400.0);(3300.0, 5700.002);271.0;11.0;282.0;31.0;39.0;42.0;2.0;1.0;41.0;43.0;0.0;0.0;0.0;8.0;12.0;0.0;3300.0;2400.0;5700.002;351.402;769.836;351.402;9.583;25.868;9.583;132.313;157.181;132.313;266.903;452.892;266.903;1057.221;13.379;23.0;16.0;-7.0;-0.179;0.0;9.0;33.0;24.0;0.571;0.0;10.0;;;;1.5;0.014580631512326506;1.739334448759305;4.66311885650599e-17;0.5688732650462875;-0.002209917522736919;0.0006085687385350752;-7.776117491218607e-18;0.11691398665702676;-0.00892060967180212;-0.0069895674329110286;0.0;0.07015159731247597;-0.018823466631630068;-0.016858219477345553;1.2;0.011777515130398339;1.425185284604385;1.3;0.020516864472228037;2.482957688437869;1.4058553716605444e-16;1.5965015817326382;-0.005152879212066821;0.0034017868985777755;-6.249963591072899e-17;0.9830710146134648;-0.011403950460208413;0.007720248483690402;-1.0313006885516875e-16;1.2543951713084243;-0.020120778952651214;0.02002195775711036;3300.0;2.3;0.016594250003187597;1.5932064585480619;1.8;0.03229544228269968;3.100646508278523;-1.6401646002706352e-16;1.2822393444446292;0.008930476209903159;0.018744559587823874;-9.374945386609349e-17;1.8743508037473666;0.007541332872448189;0.05412349199689439;-7.500368644012273e-17;1.8366187988194949;0.004429896680412304;0.07812239356042286;2400.0
3;AK20R;3;SA;17;AK20R_3;AK20R_rat_3_SA_j17;SA;(2400.002, 3300.007);no ND2;(0, 2400.002);(3300.007, 4506.058);61.0;16.0;77.0;7.0;22.0;;13.0;0.0;35.0;0.0;1.0;0.0;1.0;4.0;3.0;0.0;3300.007;2400.002;;43.359;15.929;15.929;210.771;;210.771;1.499;157.406;1.499;;;;175.828;219.542;4.0;18.0;14.0;0.636;0.0;;;;;0.0;0.053;;;;;;;;;;;;;;;;;;;2.6;0.013014289975054895;1.7448167923574684;1.2;0.01342052241995542;1.7992758377633062;0.0;1.4296930818534164;-0.0050384648475258476;0.0003956920721590509;1.3671795355471966e-16;0.8544639224285611;-0.014090184010062961;-0.00353798269518155;0.0;0.22977607022396435;-0.006904901240605502;0.0002501798472761465;3300.007;;;;;;;;;;;;;;;;;;;2400.002
4;AK20R;3;SA;18;AK20R_3;AK20R_rat_3_SA_j18;SA;(2400.006, 3300.027);no ND2;(0, 2400.006);(3300.027, 4506.054);47.0;6.0;53.0;5.0;15.0;;1.0;0.0;16.0;0.0;1.0;1.0;2.0;2.0;3.0;0.0;3300.027;2400.006;;162.681;29.745;29.745;48.511;;48.511;55.205;39.599;39.599;;;;340.803;62.858;2.0;13.0;11.0;0.733;0.0;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3300.027;;;;;;;;;;;;;;;;;;;2400.006
5;AK20R;4;SA;16;AK20R_4;AK20R_rat_4_SA_j16;SA;(2400.0, 3300.0);no ND2;(0, 2400.0);(3300.0, 4506.028);67.0;5.0;72.0;13.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;4.0;0.0;3300.0;2400.0;;302.942;53.057;53.057;19.457;;19.457;;;;;;;602.904;23.204;0.0;0.0;0.0;;0.0;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3300.0;;;;;;;;;;;;;;;;;;;2400.0
6;AK20R;4;SA;17;AK20R_4;AK20R_rat_4_SA_j17;SA;(2400.002, 3300.007);no ND2;(0, 2400.002);(3300.007, 4506.058);61.0;16.0;77.0;7.0;22.0;;13.0;0.0;35.0;0.0;1.0;0.0;1.0;4.0;3.0;0.0;3300.007;2400.002;;43.359;15.929;15.929;210.771;;210.771;1.499;157.406;1.499;;;;175.828;219.542;4.0;18.0;14.0;0.636;0.0;;;;;0.0;0.053;;;;;;;;;;;;;;;;;;;1.8;0.015056717112309694;2.4853657619859635;3.6;0.015051350203543458;2.484479868126063;4.6900510611227736e-17;0.6736146586281706;0.0001594634229933238;0.0026295689416934356;0.0;0.7059434869150873;0.005194721377271691;0.014288300217600818;2.813102220099374e-17;0.9614271426939758;0.01067650948070893;0.03260112012127542;3300.007;;;;;;;;;;;;;;;;;;;2400.002
7;AL21R;12;NCIBSL;36;AL21R_12;AL21R_rat_12_NCIBSL_j36;SA;(2400.001, 3300.005);no ND2;(0, 2400.001);(3300.005, 3361.576);273.0;29.0;302.0;11.0;158.0;;3.0;0.0;161.0;0.0;0.0;0.0;0.0;10.0;1.0;0.0;3300.005;2400.001;;13.829;33.73;13.829;0.306;17.34;0.306;66.061;330.981;66.061;;;;56.375;8.771;20.0;138.0;118.0;0.747;1.0;;;;;0.0;0.084;;;;;;;;;;;;;;;;;;;3.1;0.019588749052984106;1.7564235846850975;3.0;0.018379254770495276;1.6479679832621423;3.514638429151361e-17;-0.07868726981057884;0.0026446964722824846;0.0020051627546435183;3.1249817955364495e-17;-0.24077710809143368;0.006014772370247949;0.00019402524465614318;0.0;-0.3353856382073771;0.01821994716695083;0.004106931941358307;3300.005;;;;;;;;;;;;;;;;;;;2400.001
8;AL21R;12;NDPre20;31;AL21R_12;AL21R_rat_12_NDPre20_j31;ND;(20.002, 900.0);(3300.001, 4200.001);(0, 20.002);(900.0, 3300.001);525.0;57.0;582.0;11.0;74.0;341.0;28.0;12.0;102.0;353.0;1.0;3.0;4.0;0.0;11.0;0.0;900.0;20.002;3300.001;;7.801;7.801;19.777;16.062;16.062;33.626;48.318;33.626;34.435;240.872;34.435;;25.684;24.0;50.0;26.0;0.351;0.0;80.0;261.0;181.0;0.531;1.0;10.0;;;;2.0;0.023700224678414095;2.122444697248719;0.0;1.469155464593738;0.0004783585663933658;0.013208237250917772;4.665670494731164e-17;0.30503581120390055;0.012130286866091597;0.020632475374481728;1.8698493046318426e-17;-0.0263026218806684;0.017866499350110865;0.016613804493282088;1.8;0.020394952890221602;2.193501339192676;2.7;0.020848336868675703;2.2422634373784662;5.862563826403467e-18;0.310948244422195;0.0025827041309755727;0.004841445535114429;-4.68876152275018e-17;0.08173081559535222;0.005641001950235027;0.007625288330752203;9.377007400331246e-18;0.13586677622172894;0.007930826848675441;0.013419544913280724;4200.001;3.5;0.015079413440585207;1.453489013364983;2.1;0.02103499407945276;2.0276022461387715;-2.331559428252995e-17;0.7694658223192802;-0.004214372823840498;0.0023736648322812606;3.1087459043373265e-17;0.7848267617161143;-0.004736350544282768;0.015368497163801483;-9.32623771301198e-18;0.6525896724660131;-0.008865305341810643;0.018931846344861256;3300.001
9;AL21R;12;NDPre;28;AL21R_12;AL21R_rat_12_NDPre_j28;ND;(10.005, 900.003);(3300.003, 4200.162);(0, 10.005);(900.003, 3300.003);407.0;55.0;462.0;12.0;77.0;187.0;23.0;14.0;100.0;201.0;1.0;0.0;1.0;0.0;12.0;0.0;900.003;10.005;3300.003;;;;9.14;56.575;9.14;35.54;181.682;35.54;108.439;211.664;108.439;;35.744;32.0;45.0;13.0;0.169;0.0;40.0;147.0;107.0;0.572;1.0;900.003;1.9;0.0138558415314528;1.302862287629308;2.9;0.021863472630135498;2.055806021128487;5.857730715252269e-18;0.8421779408703487;-0.002544259886572455;0.00624398915559016;-4.6874726933046743e-17;1.173264480206404;-0.014153389919408586;0.017839309233751804;-1.8750921610030682e-17;1.0388720183526559;-0.018252541782865415;0.027107867746204082;2.1;0.013179238601927979;1.509535967245122;1.4;0.015338088134409846;1.756826154958018;-2.3450255305613868e-17;0.42060310267595036;-0.002486699980356096;0.00038572862354630953;-3.125841015166787e-17;0.24664808063570814;-0.0048464226192585814;0.0006106027694968395;5.626204440198748e-17;-0.1109845408438099;-0.007917732743548744;-0.011894506721501068;4200.162;;;;;;;;;;;;;;;;;;;3300.003
